university,URLs,paths,read
Sidho Kanho Birsha University,https://skbu.ac.in/images/uploads/201904111553401585216513-98136284.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Sidho Kanho Birsha University/url2.csv,NO
Sidho Kanho Birsha University,https://skbu.ac.in/index/pageid/0c5fcgkgalfghl,C:/Users/User/Desktop/uni selection/scraped_data/Sidho Kanho Birsha University/url3.csv,NO
Sidho Kanho Birsha University,https://skbu.ac.in/index/pageid/gb1f9f9fkj9g3k,C:/Users/User/Desktop/uni selection/scraped_data/Sidho Kanho Birsha University/url4.csv,NO
Sidho Kanho Birsha University,https://skbu.ac.in/images/uploads/201904111427231585209420-99509750.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Sidho Kanho Birsha University/url5.csv,NO
Sidho Kanho Birsha University,https://skbu.ac.in/index/pageid/6d9g7f9gfl8fjjjecgiebd0k4k8f7l0flj,C:/Users/User/Desktop/uni selection/scraped_data/Sidho Kanho Birsha University/url6.csv,YES
Sidho Kanho Birsha University,https://examstime.in/sidho-kanho-birsha-university-courses-and-syllabus/,C:/Users/User/Desktop/uni selection/scraped_data/Sidho Kanho Birsha University/url7.csv,YES
Sidho Kanho Birsha University,https://examstime.in/sidho-kanho-birsha-university-courses-and-syllabus/#About-Sidho-Kanho-Birsha-University,C:/Users/User/Desktop/uni selection/scraped_data/Sidho Kanho Birsha University/url8.csv,YES
Sidho Kanho Birsha University,https://examstime.in/sidho-kanho-birsha-university-courses-and-syllabus/#Courses-List,C:/Users/User/Desktop/uni selection/scraped_data/Sidho Kanho Birsha University/url9.csv,YES
Sidho Kanho Birsha University,https://examstime.in/sidho-kanho-birsha-university-courses-and-syllabus/#Courses-Duration,C:/Users/User/Desktop/uni selection/scraped_data/Sidho Kanho Birsha University/url10.csv,NO
The Sanskrit College and University,https://www.sanskritcollegeanduniversity.org.in/courses.php,C:/Users/User/Desktop/uni selection/scraped_data/The Sanskrit College and University/url1.csv,NO
The Sanskrit College and University,http://sanskritcollegeanduniversity.org.in/download/SANSKRIT_MA.pdf,C:/Users/User/Desktop/uni selection/scraped_data/The Sanskrit College and University/url2.csv,YES
The Sanskrit College and University,https://www.sanskritcollegeanduniversity.org.in/notice.php,C:/Users/User/Desktop/uni selection/scraped_data/The Sanskrit College and University/url3.csv,NO
The Sanskrit College and University,https://www.sanskritcollegeanduniversity.org.in/download/AIWH.pdf,C:/Users/User/Desktop/uni selection/scraped_data/The Sanskrit College and University/url4.csv,YES
The Sanskrit College and University,http://sansuniv.ac.in/p/syllabus,C:/Users/User/Desktop/uni selection/scraped_data/The Sanskrit College and University/url5.csv,NO
The Sanskrit College and University,http://sansuniv.ac.in/d/department-of-english-scu,C:/Users/User/Desktop/uni selection/scraped_data/The Sanskrit College and University/url6.csv,YES
The Sanskrit College and University,https://examstime.in/the-sanskrit-college-and-university-courses-and-syllabus/,C:/Users/User/Desktop/uni selection/scraped_data/The Sanskrit College and University/url7.csv,YES
The Sanskrit College and University,https://www.collegeadmission.in/Sanskrit_College/Sanskrit_College.shtml,C:/Users/User/Desktop/uni selection/scraped_data/The Sanskrit College and University/url8.csv,NO
Uttar Banga Krishi Vishwavidyalaya,http://www.ubkv.ac.in/wp-content/uploads/2014/03/PG-Syllabus_Forestry.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Uttar Banga Krishi Vishwavidyalaya/url1.csv,NO
